Hour,Mini_Hydro_Generation_MW
6681,288.7186618
6682,288.7186618
6683,288.7186618
6684,288.7186618
6685,288.7186618
6686,288.7186618
6687,288.7186618
6688,288.7186618
6689,288.7186618
6690,288.7186618
6691,288.7186618
6692,288.7186618
6693,288.7186618
6694,288.7186618
6695,288.7186618
6696,288.7186618
6697,288.7186618
6698,288.7186618
6699,288.7186618
6700,288.7186618
6701,288.7186618
6702,288.7186618
6703,288.7186618
6704,288.7186618
6705,288.7186618
6706,288.7186618
6707,288.7186618
6708,288.7186618
6709,288.7186618
6710,288.7186618
6711,288.7186618
6712,288.7186618
6713,288.7186618
6714,288.7186618
6715,288.7186618
6716,288.7186618
6717,288.7186618
6718,288.7186618
6719,288.7186618
6720,288.7186618
6721,288.7186618
6722,288.7186618
6723,288.7186618
6724,288.7186618
6725,288.7186618
6726,288.7186618
6727,288.7186618
6728,288.7186618
6729,288.7186618
6730,288.7186618
6731,288.7186618
6732,288.7186618
6733,288.7186618
6734,288.7186618
6735,288.7186618
6736,288.7186618
6737,288.7186618
6738,288.7186618
6739,288.7186618
6740,288.7186618
6741,288.7186618
6742,288.7186618
6743,288.7186618
6744,288.7186618
6745,288.7186618
6746,288.7186618
6747,288.7186618
6748,288.7186618
6749,288.7186618
6750,288.7186618
6751,288.7186618
6752,288.7186618
6753,288.7186618
6754,288.7186618
6755,288.7186618
6756,288.7186618
6757,288.7186618
6758,288.7186618
6759,288.7186618
6760,288.7186618
6761,288.7186618
6762,288.7186618
6763,288.7186618
6764,288.7186618
6765,288.7186618
6766,288.7186618
6767,288.7186618
6768,288.7186618
6769,288.7186618
6770,288.7186618
6771,288.7186618
6772,288.7186618
6773,288.7186618
6774,288.7186618
6775,288.7186618
6776,288.7186618
6777,288.7186618
6778,288.7186618
6779,288.7186618
6780,288.7186618
6781,288.7186618
6782,288.7186618
6783,288.7186618
6784,288.7186618
6785,288.7186618
6786,288.7186618
6787,288.7186618
6788,288.7186618
6789,288.7186618
6790,288.7186618
6791,288.7186618
6792,288.7186618
6793,288.7186618
6794,288.7186618
6795,288.7186618
6796,288.7186618
6797,288.7186618
6798,288.7186618
6799,288.7186618
6800,288.7186618
6801,288.7186618
6802,288.7186618
6803,288.7186618
6804,288.7186618
6805,288.7186618
6806,288.7186618
6807,288.7186618
6808,288.7186618
6809,288.7186618
