Modified_minihydro_solar_wind,modified_solar_wind,Load_MW_2025,Mean Solar*1609,Means Wind*266,Mini_Hydro_Generation_MW
1849.173906,2082.389333,2220,0,137.6106667,233.215427
1775.62724,2008.842667,2150,0,141.1573333,233.215427
1623.587906,1856.803333,2000,0,143.1966667,233.215427
1472.612573,1705.828,1850,0,144.172,233.215427
1223.23324,1456.448667,1600,0,143.5513333,233.215427
1079.08524,1312.300667,1450,0,137.6993333,233.215427
1238.92724,1472.142667,1600,0,127.8573333,233.215427
1198.946573,1432.162,1550,0,117.838,233.215427
1158.699906,1391.915333,1500,0,108.0846667,233.215427
1149.78324,1382.998667,1480,0,97.00133333,233.215427
1200.68924,1433.904667,1520,0,86.09533333,233.215427
1390.974573,1624.19,1700,0,75.81,233.215427
1456.845573,1690.061,1950,193.6163333,66.32266667,233.215427
1164.093906,1397.309333,2000,540.624,62.06666667,233.215427
978.178573,1211.394,2100,821.6626667,66.94333333,233.215427
1092.477573,1325.693,2400,1001.334333,72.97266667,233.215427
1143.49824,1376.713667,2550,1092.511,80.77533333,233.215427
1194.888906,1428.104334,2600,1085.002333,86.89333333,233.215427
1208.489906,1441.705334,2550,1015.815333,92.47933333,233.215427
1230.462573,1463.678,2450,888.168,98.154,233.215427
1461.71524,1694.930667,2500,699.3786667,105.6906667,233.215427
1773.18424,2006.399667,2600,480.0183333,113.582,233.215427
1999.088906,2232.304333,2550,197.907,119.7886667,233.215427
2055.27024,2288.485667,2420,2.681666667,128.8326667,233.215427
1983.518573,2216.734,2350,0,133.266,233.215427
2035.114573,2268.33,2400,0,131.67,233.215427
1940.611906,2173.827333,2300,0,126.1726667,233.215427
1748.76924,1981.984667,2100,0,118.0153333,233.215427
1557.01524,1790.230667,1900,0,109.7693333,233.215427
1365.26124,1598.476667,1700,0,101.5233333,233.215427
1273.418573,1506.634,1600,0,93.366,233.215427
1229.979906,1463.195333,1550,0,86.80466667,233.215427
1187.782573,1420.998,1500,0,79.002,233.215427
1175.673906,1408.889333,1480,0,71.11066667,233.215427
1221.614573,1454.83,1520,0,65.17,233.215427
1403.653906,1636.869333,1700,0,63.13066667,233.215427
1459.665573,1692.881,1950,195.7616667,61.35733333,233.215427
1191.061906,1424.277333,2000,517.0253333,58.69733333,233.215427
1024.72924,1257.944667,2100,777.6833333,64.372,233.215427
1144.391573,1377.607,2400,951.9916667,70.40133333,233.215427
1205.85124,1439.066667,2550,1035.123333,75.81,233.215427
1236.510906,1469.726333,2600,1047.459,82.81466667,233.215427
1216.08724,1449.302666,2550,1008.306667,92.39066667,233.215427
1203.96824,1437.183667,2450,908.0123333,104.804,233.215427
1418.304906,1651.520333,2500,727.8043333,120.6753333,233.215427
1765.325573,1998.541,2600,465.001,136.458,233.215427
1988.667573,2221.883,2550,181.817,146.3,233.215427
2033.55124,2266.766667,2420,2.145333333,151.088,233.215427
1966.139906,2199.355333,2350,0,150.6446667,233.215427
2019.50924,2252.724667,2400,0,147.2753333,233.215427
1927.400573,2160.616,2300,0,139.384,233.215427
1740.25724,1973.472667,2100,0,126.5273333,233.215427
1555.596573,1788.812,1900,0,111.188,233.215427
1370.403906,1603.619333,1700,0,96.38066667,233.215427
1282.994573,1516.21,1600,0,83.79,233.215427
1241.506573,1474.722,1550,0,75.278,233.215427
1199.30924,1432.524667,1500,0,67.47533333,233.215427
1185.870573,1419.086,1480,0,60.914,233.215427
1231.367906,1464.583333,1520,0,55.41666667,233.215427
1414.914573,1648.13,1700,0,51.87,233.215427
1468.67924,1701.894667,1950,199.516,48.58933333,233.215427
1163.107573,1396.323,2000,552.9596667,50.71733333,233.215427
970.122573,1203.338,2100,842.0433333,54.61866667,233.215427
1060.331906,1293.547334,2400,1051.213333,55.23933333,233.215427
1092.528906,1325.744333,2550,1167.597667,56.658,233.215427
1111.451906,1344.667333,2600,1194.950667,60.382,233.215427
1095.01824,1328.233667,2550,1155.798333,65.968,233.215427
1104.131906,1337.347333,2450,1039.414,73.23866667,233.215427
1399.664573,1632.88,2500,785.192,81.928,233.215427
1780.439573,2013.655,2600,492.8903333,93.45466667,233.215427
2030.712906,2263.928333,2550,179.6716667,106.4,233.215427
2064.145573,2297.361,2420,1.609,121.03,233.215427
1985.380573,2218.596,2350,0,131.404,233.215427
2034.050573,2267.266,2400,0,132.734,233.215427
1935.557906,2168.773333,2300,0,131.2266667,233.215427
1738.749906,1971.965333,2100,0,128.0346667,233.215427
1546.729906,1779.945333,1900,0,120.0546667,233.215427
1357.369906,1590.585333,1700,0,109.4146667,233.215427
1268.45324,1501.668667,1600,0,98.33133333,233.215427
1229.89124,1463.106667,1550,0,86.89333333,233.215427
1194.25524,1427.470667,1500,0,72.52933333,233.215427
1187.998573,1421.214,1480,0,58.786,233.215427
1237.751906,1470.967333,1520,0,49.03266667,233.215427
1423.160573,1656.376,1700,0,43.624,233.215427
1522.145906,1755.361333,1950,155.5366667,39.102,233.215427
1301.820906,1535.036333,2000,427.4576667,37.506,233.215427
1152.784906,1386.000333,2100,676.3163333,37.68333333,233.215427
1235.49424,1468.709667,2400,891.9223333,39.368,233.215427
1206.131906,1439.347333,2550,1066.230667,44.422,233.215427
1175.476573,1408.692,2600,1139.172,52.136,233.215427
1119.36724,1352.582667,2550,1138.099333,59.318,233.215427
1108.543573,1341.759,2450,1042.095667,66.14533333,233.215427
1353.67824,1586.893667,2500,836.1436667,76.96266667,233.215427
1728.406573,1961.622,2600,545.9873333,92.39066667,233.215427
2001.670906,2234.886333,2550,207.561,107.5526667,233.215427
2061.472573,2294.688,2420,3.218,122.094,233.215427
1987.153906,2220.369333,2350,0,129.6306667,233.215427
2034.93724,2268.152667,2400,0,131.8473333,233.215427
1933.961906,2167.177333,2300,0,132.8226667,233.215427
1735.380573,1968.596,2100,0,131.404,233.215427
1540.611906,1773.827333,1900,0,126.1726667,233.215427
1346.64124,1579.856667,1700,0,120.1433333,233.215427
1251.517906,1484.733333,1600,0,115.2666667,233.215427
1205.330573,1438.546,1550,0,111.454,233.215427
1160.118573,1393.334,1500,0,106.666,233.215427
1144.551906,1377.767333,1480,0,102.2326667,233.215427
1190.31524,1423.530667,1520,0,96.46933333,233.215427
1376.96524,1610.180667,1700,0,89.81933333,233.215427
1440.86824,1674.083667,1950,195.7616667,80.15466667,233.215427
1159.991573,1393.207,2000,532.579,74.214,233.215427
976.900573,1210.116,2100,815.2266667,74.65733333,233.215427
1060.842573,1294.058,2400,1031.905333,74.03666667,233.215427
1080.61524,1313.830667,2550,1160.625333,75.544,233.215427
1085.132906,1318.348334,2600,1204.068333,77.58333333,233.215427
1056.35924,1289.574667,2550,1177.788,82.63733333,233.215427
1052.157573,1285.373,2450,1074.275667,90.35133333,233.215427
1294.335906,1527.551333,2500,872.078,100.3706667,233.215427
1690.02224,1923.237667,2600,566.9043333,109.858,233.215427
1965.282573,2198.498,2550,233.8413333,117.6606667,233.215427
2057.296573,2290.512,2420,4.290666667,125.1973333,233.215427
1987.685906,2220.901333,2350,0,129.0986667,233.215427
2038.838573,2272.054,2400,0,127.946,233.215427
1942.207906,2175.423333,2300,0,124.5766667,233.215427
1745.04524,1978.260667,2100,0,121.7393333,233.215427
1547.70524,1780.920667,1900,0,119.0793333,233.215427
1352.581906,1585.797333,1700,0,114.2026667,233.215427
1240.295906,1473.511333,1580,0,106.4886667,233.215427
1167.477906,1400.693333,1500,0,99.30666667,233.215427
1123.063906,1356.279333,1450,0,93.72066667,233.215427
1097.585906,1330.801333,1420,0,89.19866667,233.215427
1130.511906,1363.727333,1450,0,86.27266667,233.215427
1283.703906,1516.919333,1600,0,83.08066667,233.215427
1260.009573,1493.225,1800,229.0143333,77.76066667,233.215427
1005.61224,1238.827667,1900,579.7763333,81.396,233.215427
754.5282397,987.7436667,1950,872.6143333,89.642,233.215427
